Player,Pos,Ht_in,Wt,Birth Date,Colleges
Cazzie Russell,F-G,77,218.0,1944-06-07,Michigan
D'Angelo Russell,G,76,193.0,1996-02-23,Ohio State
Frank Russell,G,75,180.0,1949-04-17,Detroit Mercy
Pierre Russell,F-G,76,190.0,1949-12-13,Kansas
Rubin Russell,G,74,180.0,1944-11-07,University of North Texas
Walker Russell,G,77,195.0,1960-10-26,Houston Western Michigan
Walker Russell,G,72,170.0,1982-10-06,Jacksonville State University
Arvydas Sabonis*,C,87,279.0,1964-12-19,
Domantas Sabonis,F-C,83,240.0,1996-05-03,Gonzaga
Robert Sacre,C,84,270.0,1989-06-06,Gonzaga
Ed Sadowski,C,77,240.0,1917-07-11,Seton Hall
Kenny Sailors,G,70,175.0,1921-01-14,Wyoming
John Salley,F-C,83,230.0,1964-05-16,Georgia Tech
John Salmons,G,79,210.0,1979-12-12,Miami (FL)
Al Salvadori,F,81,220.0,1945-05-06,South Carolina
Kevin Salvadori,C,84,231.0,1970-12-30,UNC
Soumaila Samake,C,84,230.0,1978-03-18,
Luka Šamani?,F,82,227.0,2000-01-09,
Cheikh Samb,C,85,245.0,1984-10-22,
Brandon Sampson,G,77,184.0,1997-05-01,LSU
JaKarr Sampson,G-F,79,214.0,1993-03-20,St. John's
Jamal Sampson,F-C,83,235.0,1983-05-15,California
Ralph Sampson*,C-F,88,228.0,1960-07-07,Virginia
Samardo Samuels,F,81,260.0,1989-01-09,Louisville
Pepe Sánchez,G,76,195.0,1977-05-08,Temple
Al Sanders,F,79,240.0,1950-01-01,LSU
Frankie Sanders,F-G,78,200.0,1957-01-23,Southern University and A&M College
Jeff Sanders,F,80,225.0,1966-01-14,Georgia Southern University
Larry Sanders,C-F,83,235.0,1988-11-21,VCU
Melvin Sanders,G-F,77,210.0,1981-01-03,Seward County Community College Oklahoma State
Mike Sanders,F-G,78,210.0,1960-05-07,UCLA
Tom Sanders*,F,78,210.0,1938-11-08,NYU
Ron Sanford,F,81,215.0,1946-06-11,New Mexico
Daniel Santiago,C,85,256.0,1976-06-24,New Mexico Saint Vincent College
Bob Santini,F,77,190.0,1935-02-17,Iona College
Wayne Sappleton,F,81,215.0,1960-11-17,Loyola Chicago
Dario Šari?,F-C,82,225.0,1994-04-08,
Olivier Sarr,C,84,237.0,1999-02-20,Wake Forest Kentucky
Jason Sasser,F,79,225.0,1974-01-13,Texas Tech
Jeryl Sasser,G,78,200.0,1979-02-13,SMU
Tomáš Satoranský,G,79,210.0,1991-10-30,
Kenny Satterfield,G,74,186.0,1981-04-10,Cincinnati
Pep Saul,G-F,74,185.0,1924-02-16,Seton Hall
Woody Sauldsberry,F-C,79,220.0,1934-07-11,Texas Southern
Glynn Saulters,G,74,175.0,1945-02-10,Louisiana-Monroe
Fred Saunders,F,79,210.0,1951-06-13,Syracuse
Don Savage,F-G,75,205.0,1928-04-09,LeMoyne College
Predrag Savovi?,G,78,225.0,1976-05-21,UAB Hawaii
Alan Sawyer,F,77,195.0,1928-01-01,UCLA
Brian Scalabrine,F,81,241.0,1978-03-18,USC
Alex Scales,G,76,185.0,1978-07-03,Oregon
DeWayne Scales,F,80,208.0,1958-12-28,LSU
Frank Schade,G,73,170.0,1950-01-22,University of Wisconsin-Eau Claire
Ben Schadler,F,72,185.0,1924-03-09,Northwestern
Herm Schaefer,G-F,72,175.0,1918-12-20,Indiana
Billy Schaeffer,F,77,200.0,1951-12-11,St. John's
Bob Schafer,G,75,195.0,1933-03-29,Villanova
Jordan Schakel,F,78,200.0,1998-06-13,San Diego State
Ben Scharnus,F,74,173.0,1917-12-11,Seton Hall
Marv Schatzman,F,77,200.0,1927-02-18,Saint Louis
Fred Schaus,F,77,205.0,1925-06-30,West Virginia
Danny Schayes,C-F,83,235.0,1959-05-10,Syracuse
Dolph Schayes*,F-C,80,220.0,1928-05-19,NYU
Ossie Schectman,G,72,175.0,1919-03-30,Long Island University
Steve Scheffler,C-F,81,250.0,1967-09-03,Purdue
Tom Scheffler,C,83,240.0,1954-10-27,Purdue
Dave Schellhase,G,75,205.0,1944-10-14,Purdue
Luke Schenscher,C,85,255.0,1982-12-31,Georgia Tech
Herb Scherer,C,81,212.0,1928-12-21,Long Island University
Dwayne Schintzius,C,85,260.0,1968-10-14,Florida
Dale Schlueter,C,82,225.0,1945-11-12,Colorado State
Otto Schnellbacher,F-G,76,185.0,1923-04-15,Kansas
Dick Schnittker,F,77,200.0,1928-05-27,Ohio State
Russ Schoene,F-C,82,210.0,1960-04-16,Chattanooga
Admiral Schofield,G-F,77,241.0,1997-03-30,Tennessee
Dave Scholz,F,80,220.0,1948-04-12,Illinois
Milt Schoon,C,79,230.0,1922-02-25,Valparaiso
Detlef Schrempf,F-C,82,235.0,1963-01-21,Washington
Dennis Schröder,G,75,172.0,1993-09-15,
Howie Schultz,C-F,78,200.0,1922-07-03,Hamline University
Dick Schulz,F-G,74,192.0,1917-01-03,Wisconsin
Roger Schurig,G,75,185.0,1942-04-03,Vanderbilt
John Schweitz,G,78,210.0,1960-04-19,Richmond
Luis Scola,F,81,240.0,1980-04-30,
Fred Scolari,G,70,180.0,1922-03-01,San Francisco
Alvin Scott,F-G,79,185.0,1955-09-14,Oral Roberts
Brent Scott,F-C,82,250.0,1971-06-15,Rice University
Byron Scott,G,75,195.0,1961-03-28,Arizona State
Charlie Scott*,G-F,77,175.0,1948-12-15,UNC
Dennis Scott,F,80,229.0,1968-09-05,Georgia Tech
James Scott,F,78,180.0,1972-06-06,St. John's
Mike Scott,F,79,237.0,1988-07-16,Virginia
Ray Scott,F-C,81,215.0,1938-07-12,University of Portland
Shawnelle Scott,C,82,250.0,1972-06-16,St. John's
Tre Scott,F,80,225.0,1996-11-25,Cincinnati
Willie Scott,F,77,210.0,1947-05-22,Alabama State University
Paul Scranton,F,77,230.0,1944-04-30,Cal Poly Pomona
Jay Scrubb,G-F,77,220.0,2000-09-01,John A. Logan College
Carey Scurry,F,79,188.0,1962-12-04,Long Island University
Bruce Seals,F,80,210.0,1953-06-18,Xavier University of Louisiana
Shea Seals,G,77,210.0,1975-08-26,Tulsa
Malik Sealy,G,80,190.0,1970-02-01,St. John's
Ed Searcy,F,78,210.0,1952-04-17,St. John's
Kenny Sears,F,81,198.0,1933-08-17,Santa Clara
Wayne See,G,75,190.0,1923-11-03,Northern Arizona University
Thabo Sefolosha,G-F,78,215.0,1984-05-02,
Rony Seikaly,C,83,230.0,1965-05-10,Syracuse
Glen Selbo,G-F,75,196.0,1926-03-29,Wisconsin
Josh Selby,G,74,183.0,1991-03-27,Kansas
Wayne Selden,G-F,77,230.0,1994-09-30,Kansas
Brad Sellers,C-F,84,210.0,1962-12-17,Wisconsin Ohio State
Phil Sellers,F-G,76,195.0,1953-11-20,Rutgers University
Rollie Seltz,G-F,70,165.0,1924-01-25,Hamline University
Lester Selvage,G,73,175.0,1943-03-07,Truman State University
Frank Selvy,G-F,75,180.0,1932-11-09,Furman University
Jim Seminoff,G-F,74,190.0,1922-09-01,USC
Mouhamed Sene,C-F,83,230.0,1986-05-12,
George Senesky,G,74,179.0,1922-04-04,Saint Joseph's
Alperen ?engün,F,81,235.0,2002-07-25,
Kevin Séraphin,F,81,285.0,1989-12-07,
Ansu Sesay,F,81,225.0,1976-07-29,Ole Miss
Ramon Sessions,G,75,190.0,1986-04-11,Nevada
Ha Seung-Jin,C,87,305.0,1985-08-04,
Tom Sewell,G,77,185.0,1962-03-11,Lamar
Collin Sexton,G,73,190.0,1999-01-04,Alabama
Paul Seymour,G-F,73,180.0,1928-01-30,Toledo
Nick Shaback,G,71,180.0,1918-09-10,
Lynn Shackelford,F,77,190.0,1947-08-27,UCLA
Charles Shackleford,F-C,82,225.0,1966-04-22,NC State
Carl Shaeffer,F-G,75,185.0,1924-10-25,Alabama
Lee Shaffer,F,79,220.0,1939-02-23,UNC
Mustafa Shakur,G,75,190.0,1984-08-18,Arizona
Landry Shamet,G,76,190.0,1997-03-13,Wichita State
God Shammgod,G,72,169.0,1976-04-29,Providence
Earl Shannon,G-F,71,170.0,1921-11-23,Rhode Island
Howie Shannon,G-F,74,175.0,1923-06-10,University of North Texas Kansas State
Chuck Share,C,83,235.0,1927-03-14,Bowling Green
Bill Sharman*,G,73,175.0,1926-05-25,USC
Day'Ron Sharpe,C,83,265.0,2001-11-06,UNC
Walter Sharpe,F,81,245.0,1986-07-18,Mississippi State UAB
John Shasky,C,83,235.0,1964-07-31,Minnesota
Ron Shavlik,F,80,200.0,1933-12-04,NC State
Brian Shaw,G,78,190.0,1966-03-22,Saint Mary's UC Santa Barbara
Casey Shaw,C,83,260.0,1975-07-20,Toledo
Marial Shayok,G,77,198.0,1995-07-26,Virginia Iowa State
Bob Shea,F,74,194.0,1924-09-11,Rhode Island
Fred Sheffield,F,74,165.0,1923-11-05,Utah
Craig Shelton,F,79,210.0,1957-05-01,Georgetown
Lonnie Shelton,F-C,80,240.0,1955-10-19,Oregon State
Tornike Shengelia,F,81,217.0,1991-10-05,
Billy Shepherd,G,70,160.0,1949-11-18,Butler
Jeff Sheppard,G,75,190.0,1974-09-29,Kentucky
Steve Sheppard,F,78,215.0,1954-03-21,Maryland
Ed Sherod,G,74,170.0,1959-09-13,VCU
Charley Shipp,G-F,73,200.0,1913-12-03,Catholic University of America
Paul Shirley,F-C,82,230.0,1977-12-23,Iowa State
Gene Short,F,78,200.0,1953-08-07,Jackson State University
Purvis Short,F-G,79,210.0,1957-07-02,Jackson State University
Dexter Shouse,G,74,200.0,1963-03-24,University of South Alabama
Dick Shrider,G,74,190.0,1923-02-07,Ohio University
Gene Shue,G,74,170.0,1931-12-18,Maryland
John Shumate,F-C,81,235.0,1952-04-06,Notre Dame
Iman Shumpert,G,77,215.0,1990-06-26,Georgia Tech
Alexey Shved,G,78,190.0,1988-12-16,
Pascal Siakam,F,81,230.0,1994-04-02,New Mexico State
Jordan Sibert,G,76,187.0,1992-08-01,Ohio State Dayton
Sam Sibert,F,79,215.0,1949-02-11,Kentucky State University
Mark Sibley,G,74,175.0,1950-11-13,Northwestern
Jerry Sichting,G,73,168.0,1956-11-29,Purdue
Donald Sidle,F-C,80,215.0,1946-06-21,Oklahoma
Larry Siegfried,F,75,190.0,1939-05-22,Ohio State
Ralph Siewert,C,85,230.0,1923-12-31,Dakota Wesleyan University
Jack Sikma*,C-F,83,230.0,1955-11-14,Illinois Wesleyan University
James Silas,G,73,180.0,1949-02-11,Stephen F. Austin
Paul Silas,F-C,79,220.0,1943-07-12,Creighton
Xavier Silas,G,77,205.0,1988-01-22,Colorado Northern Illinois
Garret Siler,C,83,305.0,1986-10-25,Augusta State University
Mike Silliman,F,78,225.0,1944-05-05,United States Military Academy
Chris Silva,F,80,234.0,1996-09-19,South Carolina
Wayne Simien,F,81,255.0,1983-03-09,Kansas
Ben Simmons,G-F,83,240.0,1996-07-20,LSU
Bobby Simmons,G-F,79,210.0,1980-06-02,DePaul
Cedric Simmons,F,81,235.0,1986-01-03,NC State
Connie Simmons,C-F,80,222.0,1925-03-15,
Grant Simmons,G,75,190.0,1943-03-07,Nebraska
Johnny Simmons,G,73,184.0,1924-07-07,NYU
Jonathon Simmons,G-F,78,195.0,1989-09-14,Houston
Kobi Simmons,G,77,166.0,1997-07-04,Arizona
Lionel Simmons,F-G,79,210.0,1968-11-14,La Salle
Miles Simon,G,75,202.0,1975-11-21,Arizona
Walter Simon,F-G,78,200.0,1939-12-01,Benedict College
Marko Simonovic,C,83,216.0,1999-10-15,
Anfernee Simons,G,75,181.0,1999-06-08,
Dickey Simpkins,F,81,248.0,1972-04-06,Providence
Ralph Simpson,G-F,77,200.0,1949-08-10,Michigan State
Zavier Simpson,G,72,190.0,1997-02-11,Michigan
Alvin Sims,G,76,235.0,1974-10-18,Louisville
Bob Sims,G-F,77,220.0,1938-10-09,Pepperdine
Courtney Sims,C,82,245.0,1983-10-21,Michigan
Doug Sims,F,79,195.0,1943-06-29,Kent State University
Henry Sims,C,82,248.0,1990-03-27,Georgetown
Jericho Sims,F,82,245.0,1998-10-20,Texas
Scott Sims,G,73,170.0,1955-04-18,Missouri
Kyle Singler,F,80,228.0,1988-05-04,Duke
Sean Singletary,G,72,185.0,1985-09-06,Virginia
Chris Singleton,F,80,230.0,1989-11-21,Florida State
James Singleton,F,80,216.0,1981-07-20,Murray State
McKinley Singleton,G,77,175.0,1961-10-29,UAB
Zeke Sinicola,G,70,165.0,1929-01-25,Niagara University
Deividas Sirvydis,G-F,80,190.0,2000-06-10,
Charlie Sitton,F,80,210.0,1962-07-03,Oregon State
Peyton Siva,G,72,185.0,1990-10-24,Louisville
Scott Skiles,G,73,180.0,1964-03-05,Michigan State
Al Skinner,G,75,190.0,1952-06-16,UMass
Brian Skinner,F,81,255.0,1976-05-19,Baylor
Tal Skinner,F-G,77,195.0,1952-09-10,University of Maryland Eastern Shore
Whitey Skoog,G,71,180.0,1926-11-02,Minnesota
Jeff Slade,F,78,220.0,1941-03-01,Kenyon College
Reggie Slater,F,79,215.0,1970-08-27,Wyoming
Jim Slaughter,C,83,210.0,1928-05-13,South Carolina
Jose Slaughter,G,77,205.0,1960-09-09,University of Portland
Tamar Slay,G,80,215.0,1980-04-02,Marshall
Donald Sloan,G,75,205.0,1988-01-15,Texas A&M
Jerry Sloan*,G-F,77,195.0,1942-03-28,University of Evansville
Uroš Slokar,F,82,238.0,1983-05-14,
Tom Sluby,G,76,200.0,1962-02-18,Notre Dame
Alen Smailagi?,F,82,215.0,2000-08-18,
Javonte Smart,G,76,205.0,1999-06-03,LSU
Keith Smart,G,73,175.0,1964-09-21,Indiana
Marcus Smart,G,75,220.0,1994-03-06,Oklahoma State
Belus Smawley,G-F,73,195.0,1918-03-20,Appalachian State University
Jack Smiley,F-G,75,190.0,1922-12-22,Illinois
Adrian Smith,G,73,180.0,1936-10-05,Kentucky
Al Smith,G,73,185.0,1947-01-15,Bradley
Bill Smith,G-F,77,190.0,1939-04-26,Saint Peter's College
Bingo Smith,F-G,77,195.0,1946-02-26,Tulsa
Bobby Smith,G,76,190.0,1937-08-20,West Virginia
Charles Smith,F-C,82,230.0,1965-07-16,Pitt
Charles Smith,G,73,160.0,1967-11-29,Georgetown
Charles Smith,G,76,194.0,1975-08-22,New Mexico
Chris Smith,G,75,190.0,1970-05-17,UConn
Chris Smith,G,74,200.0,1987-10-13,Manhattan College Louisville
Clinton Smith,F,78,210.0,1964-01-19,Ohio State Cleveland State University
Craig Smith,F,79,250.0,1983-11-10,Boston College
Deb Smith,F,75,180.0,1920-01-07,Utah
Dennis Smith Jr.,G,74,205.0,1997-11-25,NC State
Derek Smith,G-F,78,205.0,1961-11-01,Louisville
Don Smith,G-F,74,190.0,1920-07-27,Minnesota
Don Smith,G,72,160.0,1951-10-10,Dayton
Donta Smith,G-F,79,215.0,1983-11-27,Southeastern Illinois College
Doug Smith,F,82,220.0,1969-09-17,Missouri
Ed Smith,F,78,180.0,1929-07-05,Harvard University
Elmore Smith,C,84,250.0,1949-05-09,Kentucky State University
Garfield Smith,C-F,81,235.0,1945-11-18,Eastern Kentucky University
Greg Smith,F,77,195.0,1947-01-28,Western Kentucky
Greg Smith,C,82,250.0,1991-01-08,Fresno State
Ish Smith,G,72,175.0,1988-07-05,Wake Forest
J.R. Smith,G-F,78,225.0,1985-09-09,
Jabari Smith,C,83,250.0,1977-02-12,LSU
Jalen Smith,F,82,215.0,2000-03-16,Maryland
Jason Smith,F-C,84,240.0,1986-03-02,Colorado State
Jerry Smith,G,74,190.0,1987-09-26,Louisville
Jim Smith,F,81,225.0,1958-04-12,Ohio State
Joe Smith,F,82,225.0,1975-07-26,Maryland
John Smith,C,84,235.0,1944-05-24,University of Southern Colorado
Josh Smith,F,81,225.0,1985-12-05,
Keith Smith,G,75,180.0,1964-03-09,Loyola Marymount
Ken Smith,F,79,185.0,1953-07-12,Tulsa
Kenny Smith,G,75,170.0,1965-03-08,UNC
LaBradford Smith,G,75,200.0,1969-04-03,Louisville
Larry Smith,F-C,80,215.0,1958-01-18,Alcorn State
Leon Smith,C,82,235.0,1980-11-02,
Michael Smith,F,82,225.0,1965-05-19,BYU
Michael Smith,F,80,230.0,1972-03-28,Providence
Mike Smith,F,80,195.0,1976-04-15,Louisiana-Monroe
Nolan Smith,G,74,185.0,1988-07-25,Duke
Otis Smith,G-F,77,210.0,1964-01-30,Jacksonville University
Phil Smith,G,76,185.0,1952-04-22,San Francisco
Randy Smith,G-F,75,180.0,1948-12-12,Buffalo State
Reggie Smith,C,82,240.0,1970-08-21,TCU
Robert Smith,G,71,165.0,1955-03-10,UNLV
Russ Smith,G,72,165.0,1991-04-19,Louisville
Sam Smith,F,79,230.0,1944-01-27,Kentucky Wesleyan College
Sam Smith,G,76,200.0,1955-01-08,UNLV
Steve Smith,G,79,200.0,1969-03-31,Michigan State
Steven Smith,F,80,235.0,1983-04-12,La Salle
Stevin Smith,G,74,208.0,1972-01-24,Arizona State
Theron Smith,F,80,225.0,1980-10-03,Ball State University
Tony Smith,G,75,185.0,1968-06-14,Marquette
William Smith,C,84,220.0,1949-02-14,Syracuse
Willie Smith,G,74,170.0,1953-10-26,Missouri
Zhaire Smith,G,75,205.0,1999-06-04,Texas Tech
Rik Smits,C,88,250.0,1966-08-23,Marist College
Mike Smrek,C,84,250.0,1962-08-31,Canisius
Joe Smyth,F,75,215.0,1929-05-22,Niagara University
Xavier Sneed,F,77,215.0,1997-12-21,Kansas State
Tony Snell,G-F,78,213.0,1991-11-10,New Mexico
Eric Snow,G,75,190.0,1973-04-24,Michigan State
Dick Snyder,G-F,77,207.0,1944-02-01,Davidson
Kirk Snyder,G,78,225.0,1983-06-05,Nevada
Chips Sobek,G-F,72,180.0,1920-02-10,Notre Dame
Ricky Sobers,G,75,198.0,1953-01-15,UNLV
Ron Sobie,G,75,185.0,1934-09-21,DePaul
Mike Sojourner,C-F,81,225.0,1953-10-16,Utah
Willie Sojourner,C-F,80,225.0,1948-09-10,Weber State
Will Solomon,G,73,185.0,1978-07-20,Clemson
Willie Somerset,G,68,170.0,1942-03-17,Duquesne
Darius Songaila,F,81,248.0,1978-02-14,Wake Forest
Dave Sorenson,F,80,225.0,1948-07-08,Ohio State
James Southerland,F,80,215.0,1990-04-28,Syracuse
Gino Sovran,F-G,74,175.0,1924-12-17,Detroit Mercy
Pape Sow,F,82,250.0,1981-11-22,Cal State Fullerton
Ken Spain,C,81,225.0,1946-10-06,Houston
Ray Spalding,F,82,215.0,1997-03-11,Louisville
Jim Spanarkel,G-F,77,190.0,1957-06-28,Duke
Vassilis Spanoulis,G,76,195.0,1982-08-07,
Daniel Sparks,F,80,200.0,1945-04-17,Vincennes University Weber State
Guy Sparrow,F,78,218.0,1932-11-02,Detroit Mercy
Rory Sparrow,G,74,175.0,1958-06-12,Villanova
Odie Spears,G,77,205.0,1924-06-17,Western Kentucky
Art Spector,F,76,200.0,1920-10-17,Villanova
Marreese Speights,C-F,82,255.0,1987-08-04,Florida
Omari Spellman,F,80,245.0,1997-07-21,Villanova
Andre Spencer,F,78,210.0,1964-07-20,Northern Arizona University
Elmore Spencer,C,84,270.0,1969-12-06,Georgia UNLV
Felton Spencer,C,84,265.0,1968-01-15,Louisville
Lou Spicer,F,74,195.0,1922-11-12,Syracuse
Craig Spitzer,C,84,225.0,1945-12-18,Tulane
Tiago Splitter,F-C,83,245.0,1985-01-01,
Art Spoelstra,C,81,220.0,1932-09-11,Western Kentucky
Bruce Spraggins,F,77,188.0,1939-08-31,Virginia Union University
Latrell Sprewell,G,77,190.0,1970-09-08,Alabama
Larry Spriggs,F,79,230.0,1959-09-08,Howard University
Jaden Springer,G,76,204.0,2002-09-25,Tennessee
Jim Springer,C,81,235.0,1926-06-17,
Jim Spruill,G,74,225.0,1923-02-26,Rice University
Ryan Stack,F,83,215.0,1975-07-24,South Carolina
Jerry Stackhouse,G-F,78,218.0,1974-11-05,UNC
Kevin Stacom,G,75,185.0,1951-09-04,Holy Cross Providence
Erv Staggs,F-G,78,195.0,1948-09-01,North Carolina A&T Cheyney (PA)
Bud Stallworth,F-G,77,190.0,1950-01-18,Kansas
Dave Stallworth,F-C,79,200.0,1941-12-20,Wichita State
Ed Stanczak,F,73,185.0,1921-08-15,
Cassius Stanley,G,77,190.0,1999-08-18,Duke
Terence Stansbury,G,77,170.0,1961-02-27,Temple
John Starks,G,75,180.0,1965-08-10,Oklahoma State
Keith Starr,G-F,78,190.0,1954-03-14,Pitt
Nik Stauskas,G,78,205.0,1993-10-07,Michigan
Larry Staverman,F,79,205.0,1936-10-11,Thomas More College
Larry Steele,G-F,77,180.0,1949-05-05,Kentucky
Matt Steigenga,F,79,225.0,1970-03-27,Michigan State
Vladimir Stepania,C,84,236.0,1976-05-08,
D.J. Stephens,G-F,77,188.0,1990-12-19,Memphis
Everette Stephens,G,74,175.0,1966-10-21,Purdue
Jack Stephens,G-F,75,185.0,1933-05-18,Notre Dame
Joe Stephens,F,79,210.0,1973-01-28,Colorado Little Rock
Lance Stephenson,G-F,78,230.0,1990-09-05,Cincinnati
Alex Stepheson,F,82,270.0,1987-08-07,UNC USC
Brook Steppe,G-F,77,195.0,1959-11-07,Georgia Tech
Barry Stevens,G-F,77,195.0,1963-01-17,Iowa State
Lamar Stevens,F,78,230.0,1997-07-09,Penn State
Wayne Stevens,F,75,185.0,1936-06-19,Cincinnati
DeShawn Stevenson,G,77,210.0,1981-04-03,
Dennis Stewart,F,78,220.0,1947-04-11,Michigan
Isaiah Stewart,F-C,80,250.0,2001-05-22,Washington
Kebu Stewart,F,80,239.0,1973-12-19,UNLV Cal State-Bakersfield
Larry Stewart,F,80,220.0,1968-09-21,Coppin State University
Michael Stewart,C,82,230.0,1975-04-25,California
Norm Stewart,F,77,205.0,1935-01-20,Missouri
Greg Stiemsma,C,83,260.0,1985-09-26,Wisconsin
Steve Stipanovich,C,83,245.0,1960-11-17,Missouri
Bryant Stith,G,77,208.0,1970-12-10,Virginia
Sam Stith,G,74,185.0,1937-07-22,St. Bonaventure
Tom Stith,F,77,210.0,1939-01-21,St. Bonaventure
Alex Stivrins,F,80,220.0,1962-11-29,Creighton Colorado
David Stockton,G,71,165.0,1991-06-24,Gonzaga
John Stockton*,G,73,170.0,1962-03-26,Gonzaga
Peja Stojakovi?,F,82,229.0,1977-06-09,
Ed Stokes,C,84,264.0,1971-09-03,Arizona
Greg Stokes,F-C,82,220.0,1963-08-05,Iowa
Jarnell Stokes,F-C,81,263.0,1994-01-07,Tennessee
Maurice Stokes*,F-C,79,232.0,1933-06-17,Saint Francis University
Art Stolkey,G,73,180.0,1920-10-23,Detroit Mercy
Diamond Stone,C,83,255.0,1997-02-10,Maryland
George Stone,F,79,195.0,1946-02-09,Marshall
Julyan Stone,G,78,200.0,1988-12-07,Texas-El Paso
Awvee Storey,G-F,78,222.0,1977-04-18,Illinois Arizona State
Damon Stoudamire,G,70,171.0,1973-09-03,Arizona
Salim Stoudamire,G,73,179.0,1982-10-11,Arizona
Amar'e Stoudemire,F-C,82,245.0,1982-11-16,
Paul Stovall,F,76,215.0,1948-08-16,Arizona State
D.J. Strawberry,G,77,201.0,1985-06-15,Maryland
Joe Strawder,C,82,235.0,1940-09-21,Bradley
Bill Stricker,F,81,210.0,1948-01-22,University of the Pacific
Erick Strickland,G,75,210.0,1973-11-25,Nebraska
Mark Strickland,F,81,210.0,1970-07-14,Temple
Rod Strickland,G,75,175.0,1966-07-11,DePaul
Roger Strickland,F,77,200.0,1940-09-04,Jacksonville University
John Stroeder,F,82,260.0,1958-07-24,Montana
Derek Strong,F,80,220.0,1968-02-09,Xavier
Lamont Strothers,G,76,190.0,1968-05-10,Christopher Newport University
John Stroud,F,79,215.0,1957-10-29,Ole Miss
Red Stroud,G,72,160.0,1941-05-02,Mississippi State
Max Strus,G,77,215.0,1996-03-28,Lewis (IL) DePaul
Rodney Stuckey,G,77,210.0,1986-04-21,Eastern Washington
Gene Stump,F-G,74,185.0,1923-11-13,DePaul
Stan Stutz,G-F,70,170.0,1920-04-14,Rhode Island
Jalen Suggs,G,76,205.0,2001-06-03,Gonzaga
Gary Suiter,C-F,81,225.0,1945-01-18,Midwestern State University
Jared Sullinger,F,81,260.0,1992-03-04,Ohio State
DaJuan Summers,F,80,230.0,1988-01-24,Georgetown
Edmond Sumner,G,76,196.0,1995-12-31,Xavier
Barry Sumpter,F-C,83,215.0,1965-11-11,Louisville Austin Peay State University
Don Sunderlage,G,73,180.0,1929-12-20,Illinois
Bruno Šundov,C,86,220.0,1980-02-10,
Jon Sundvold,G,74,170.0,1961-07-02,Missouri
Bob Sura,G,77,200.0,1973-03-25,Florida State
Dick Surhoff,F,76,210.0,1929-11-16,Long Island University
George Sutor,C,80,235.0,1943-09-14,La Salle
Dane Suttle,G,75,190.0,1961-08-09,Pepperdine
Greg Sutton,G,74,170.0,1967-12-03,Oral Roberts
Keith Swagerty,F,79,235.0,1945-10-30,University of the Pacific
Bennie Swain,F,80,220.0,1933-12-16,Texas Southern
Caleb Swanigan,F,81,260.0,1997-04-18,Purdue
Norm Swanson,F,78,210.0,1930-10-04,Detroit Mercy
Dan Swartz,F,76,215.0,1934-12-23,Morehead State University
Mike Sweetney,F,80,275.0,1982-10-25,Georgetown
Robert Swift,C,84,245.0,1985-12-03,
Skeeter Swift,G,75,204.0,1946-06-19,East Tennessee State University
Stromile Swift,F,81,225.0,1979-11-21,LSU
Aaron Swinson,F,77,230.0,1971-01-09,Auburn
Craig Sword,G,75,196.0,1994-01-16,Mississippi State
Pape Sy,F,79,225.0,1988-04-05,
Buck Sydnor,G,70,175.0,1921-09-19,Western Kentucky
Keifer Sykes,G,72,180.0,1993-12-30,Green Bay
Larry Sykes,F,81,255.0,1973-04-11,Xavier
Brett Szabo,C,83,230.0,1968-02-01,Augustana College (SD)
Wally Szczerbiak,F,79,244.0,1977-03-05,Miami University
Walt Szczerbiak,F,78,210.0,1949-08-21,George Washington
Žan Tabak,C,84,245.0,1970-06-15,
Yuta Tabuse,G,69,165.0,1980-10-05,Brigham Young University Hawaii
Chris Taft,F,82,260.0,1985-03-10,Pitt
Sid Tanenbaum,G,72,160.0,1925-10-08,NYU
Dragan Tarla?,C,82,260.0,1973-05-09,
Roy Tarpley,C-F,83,230.0,1964-11-28,Michigan
Levern Tart,G-F,74,195.0,1942-06-01,Bradley
Jae'Sean Tate,F,76,230.0,1995-10-28,Ohio State
Earl Tatum,G-F,77,185.0,1953-07-26,Marquette
Jayson Tatum,F,80,210.0,1998-03-03,Duke
Edy Tavares,C,87,260.0,1992-03-22,
Anthony Taylor,G,76,175.0,1965-11-30,Oregon
Brian Taylor,G,74,185.0,1951-06-09,Princeton
Donell Taylor,G,78,180.0,1982-07-26,Okaloosa-Walton Community College UAB
Fatty Taylor,G,72,175.0,1946-03-13,La Salle
Fred Taylor,G-F,77,180.0,1948-02-05,University of Texas Rio Grande Valley
Isaiah Taylor,G,75,170.0,1994-07-11,Texas
Jay Taylor,G,75,190.0,1967-10-03,Eastern Illinois University
Jeff Taylor,G,76,175.0,1960-01-01,Texas Tech
Jeff Taylor,F,79,225.0,1989-05-23,Vanderbilt
Jermaine Taylor,G,76,210.0,1986-12-08,Central Florida
Johnny Taylor,F,81,220.0,1974-06-04,Indian Hills Community College Chattanooga
Leonard Taylor,F,80,220.0,1966-05-02,California
Maurice Taylor,F,81,260.0,1976-10-30,Michigan LSU
Mike Taylor,G,74,165.0,1986-01-21,Iowa State
Oliver Taylor,G-F,74,194.0,1947-03-07,Houston
Ronald Taylor,C,85,265.0,1947-11-21,USC
Terry Taylor,G-F,77,230.0,1999-09-23,Austin Peay State University
Tyshawn Taylor,G,75,185.0,1990-04-12,Kansas
Vince Taylor,G-F,77,180.0,1960-09-11,Duke
